ROIid;ROIabbr;ROIname;ROIcolor;中文名称;是否属于小脑
81;lTHA;Left Thalamus;162 54 13;左丘脑;否
82;rTHA;Right Thalamus;162 54 13;右丘脑;否
83;lHES;Left Heschls gyrus;94 13 13;左赫希尔回;否
84;rHES;Right Heschls gyrus;94 13 13;右赫希尔回;否
85;lSTG;Left Superior temporal gyrus;203 53 0;左上颞回;否
86;rSTG;Right Superior temporal gyrus;203 53 0;右上颞回;否
87;lTPOsup;Left Temporal pole: superior temporal gyrus;38 0 83;左颞极:上颞回;否
88;rTPOsup;Right Temporal pole: superior temporal gyrus;38 0 83;右颞极:上颞回;否
89;lMTG;Left Middle temporal gyrus;162 0 56;左中颞回;否
90;rMTG;Right Middle temporal gyrus;162 0 56;右中颞回;否
91;lTPOmid;Left Temporal pole: middle temporal gyrus;0 94 92;左颞极:中颞回;否
92;rTPOmid;Right Temporal pole: middle temporal gyrus;0 94 92;右颞极:中颞回;否
93;lITG;Left Inferior temporal gyrus;128 102 0;左下颞回;否
94;rITG;Right Inferior temporal gyrus;128 102 0;右下颞回;否
95;lCERCRU1;Left Crus I of cerebellar hemisphere;140 36 42;左小脑半球1小舟;是
96;rCERCRU1;Right Crus I of cerebellar hemisphere;140 36 42;右小脑半球1小舟;是
97;lCERCRU2;Left Crus II of cerebellar hemisphere;61 61 203;左小脑半球2小舟;是
98;rCERCRU2;Right Crus II of cerebellar hemisphere;61 61 203;右小脑半球2小舟;是
99;lCER3;Left Lobule III of cerebellar hemisphere;0 152 64;左小脑半球III小叶;是
100;rCER3;Right Lobule III of cerebellar hemisphere;0 152 64;右小脑半球III小叶;是
101;lCER4_5;Left Lobule IV-V of cerebellar hemisphere;203 149 149;左小脑半球IV-V小叶;是
102;rCER4_5;Right Lobule IV-V of cerebellar hemisphere;203 149 149;右小脑半球IV-V小叶;是
103;lCER6;Left Lobule VI of cerebellar hemisphere;0 94 92;左小脑半球VI小叶;是
104;rCER6;Right Lobule VI of cerebellar hemisphere;0 94 92;右小脑半球VI小叶;是
105;lCER7b;Left Lobule VIIB of cerebellar hemisphere;203 0 67;左小脑半球VIIB小叶;是
106;rCER7b;Right Lobule VIIB of cerebellar hemisphere;203 0 67;右小脑半球VIIB小叶;是
107;lCER8;Left Lobule VIII of cerebellar hemisphere;203 149 149;左小脑半球VIII小叶;是
108;rCER8;Right Lobule VIII of cerebellar hemisphere;203 149 149;右小脑半球VIII小叶;是
109;lCER9;Left Lobule IX of cerebellar hemisphere;94 17 76;左小脑半球IX小叶;是
110;rCER9;Right Lobule IX of cerebellar hemisphere;94 17 76;右小脑半球IX小叶;是
111;lCER10;Left Lobule X of cerebellar hemisphere;203 67 16;左小脑半球X小叶;是
112;rCER10;Right Lobule X of cerebellar hemisphere;203 67 16;右小脑半球X小叶;是
113;VER1_2;Lobule I-II of vermis;254 177 254;小脑虫部I-II小叶;是
114;VER3;Lobule III of vermis;239 29 29;小脑虫部III小叶;是
115;VER4_5;Lobule IV-V of vermis;254 254 0;小脑虫部IV-V小叶;是
116;VER6;Lobule VI of vermis;101 0 220;小脑虫部VI小叶;是
117;VER7;Lobule VII of vermis;203 203 3;小脑虫部VII小叶;是
118;VER8;Lobule VIII of vermis;0 250 0;小脑虫部VIII小叶;是
119;VER9;Lobule IX of vermis;160 127 0;小脑虫部IX小叶;是
120;VER10;Lobule X of vermis;0 203 0;小脑虫部X小叶;是
121;ltAV;Left Thalamus-Anteroventral Nucleus;254 66 0;左丘脑-前腹核;否
122;rtAV;Right Thalamus-Anteroventral Nucleus;191 23 23;右丘脑-前腹核;否
123;ltLP;Left Lateral posterior;254 254 4;左外侧后丘脑;否
124;rtLP;Right Lateral posterior;128 128 128;右外侧后丘脑;否
125;ltVA;Left Ventral anterior;217 217 217;左腹前核;否
126;rtVA;Right Ventral anterior;0 117 115;右腹前核;否
127;ltVL;Left Ventral lateral;90 90 250;左腹外侧核;否
128;rtVL;Right Ventral lateral;230 185 49;右腹外侧核;否
129;ltVPL;Left Ventral posterolateral;230 185 49;左腹后外侧核;否
130;rtVPL;Right Ventral posterolateral;202 0 70;右腹后外侧核;否
131;ltIL;Left Intralaminar;162 0 56;左内层核;否
132;rtIL;Right Intralaminar;76 76 254;右内层核;否
133;ltRe;Left Reuniens;76 76 254;左会合核;否
134;rtRe;Right Reuniens;0 117 115;右会合核;否
135;ltMDm;Left Mediodorsal medial magnocellular;203 203 3;左中背侧核-大细胞;否
136;rtMDm;Right Mediodorsal medial magnocellular;0 203 0;右中背侧核-大细胞;否
137;ltMDl;Left Mediodorsal lateral parvocellular;0 250 0;左中背侧核-小细胞;否
138;rtMDl;Right Mediodorsal lateral parvocellular;254 254 0;右中背侧核-小细胞;否
139;ltLGN;Left Lateral geniculate;202 0 70;左外侧膝状体;否
140;rtLGN;Right Lateral geniculate;254 186 186;右外侧膝状体;否
141;ltMGN;Left Medial Geniculate;0 117 115;左内侧膝状体;否
142;rtMGN;Right Medial Geniculate;203 67 16;右内侧膝状体;否
143;ltPuA;Left Pulvinar anterior;202 0 70;左前膝状体;否
144;rtPuA;Right Pulvinar anterior;203 142 203;右前膝状体;否
145;ltLP;Left Lateral posterior;162 0 56;左外侧后丘脑;否
146;rtLP;Right Lateral posterior;162 0 56;右外侧后丘脑;否
147;ltIC;Left Inferior colliculus;254 177 254;左下丘脑;否
148;rtIC;Right Inferior colliculus;254 177 254;右下丘脑;否
149;ltPuI;Left Pulvinar inferior;203 0 67;左膝状体-下部;否
150;rtPuI;Right Pulvinar inferior;0 254 0;右膝状体-下部;否
151;lACCsub;Left Anterior cingulate cortex-subgenual;254 254 4;左前扣带皮层-下部;否
152;rACCsub;Right Anterior cingulate cortex-subgenual;149 203 203;右前扣带皮层-下部;否
153;lACCpre;Left Anterior cingulate cortex-pregenual;186 254 254;左前扣带皮层-前部;否
154;rACCpre;Right Anterior cingulate cortex-pregenual;67 67 254;右前扣带皮层-前部;否
155;lACCsup;Left Anterior cingulate cortex-supracallosal;254 254 135;左前扣带皮层-胼胝体上部;否
156;rACCsup;Right Anterior cingulate cortex-supracallosal;203 67 16;右前扣带皮层-胼胝体上部;否
157;lNacc;Left Nucleus accumbens;168 66 0;左伏隔核;否
158;rNacc;Right Nucleus accumbens;254 186 186;右伏隔核;否
159;lVTA;Left Ventral tegmental area;254 66 0;左腹侧被盖区;否
160;rVTA;Right Ventral tegmental area;191 23 23;右腹侧被盖区;否
161;lSNpc;Left Substantia nigra-pars compacta;162 0 56;左黑质致密部;否
162;rSNpc;Right Substantia nigra-pars compacta;198 198 2;右黑质致密部;否
163;lSNpr;Left Substantia nigra-pars reticulata;101 0 220;左黑质网状部;否
164;rSNpr;Right Substantia nigra-pars reticulata;135 0 203;右黑质网状部;否
165;lRedN;Left Red nucleus;190 86 59;左红核;否
166;rRedN;Right Red nucleus;118 86 68;右红核;否
167;lLC;Left Locus coeruleus;135 0 203;左蓝斑;否
168;rLC;Right Locus coeruleus;76 76 254;右蓝斑;否
169;RapheD;Raphe nucleus-dorsal;118 16 16;背缝核;否
170;RapheM;Raphe nucleus-median;162 54 13;中缝核;否
